[12/01/2025 11:00:19] [INFO] received Windows console close event; shutting log-core down
[15/01/2025 21:07:09] [INFO] received Windows console close event; shutting log-core down
[16/01/2025 21:06:58] [INFO] received Windows console close event; shutting log-core down
[16/01/2025 21:58:58] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 12:28:50] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 20:02:49] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:10:06] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:10:33] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:13:27] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:14:42] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:17:07] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:19:59] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:24:16] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:26:53] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:27:40] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:29:15] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:31:39] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:32:50] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:33:43] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:35:38] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:42:52] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:43:04] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:55:43] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:55:51] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 21:57:12] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:00:28] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:01:19] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:12:25] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:12:44] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:20:03] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:21:03] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:22:22] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:22:56] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:23:40] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:25:20] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:26:31] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:27:49] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:36:52] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:38:03] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 22:40:11] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:14:11] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:14:26] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:16:07] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:16:27] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:16:47] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:16:54] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:20:50] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:21:03] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:22:33] [INFO] received Windows console close event; shutting log-core down
[18/01/2025 23:22:47] [INFO] received Windows console close event; shutting log-core down
